Name,H,B,C,D,E,F,G
Caloperdix_oculeus,0,0,0,0,0,1,0
Rollulus_rouloul,0,0,0,0,0,1,0
Arborophila_javanica,0,0,0,0,0,1,0
Arborophila_rufipectus,1,0,0,0,0,0,0
Arborophila_torqueola,1,1,0,0,0,1,0
Arborophila_rufogularis,1,1,0,0,0,1,0
Arborophila_gingica,0,0,0,0,1,0,0
Xenoperdix_udzungwensis,0,0,0,0,0,0,1
Gallus_varius,0,0,0,0,0,1,0
Gallus_gallus,1,1,0,1,0,1,0
Gallus_lafayetii,0,0,0,1,0,0,0
Gallus_sonneratii,0,0,0,1,0,0,0
Bambusicola_thoracicus,0,0,0,0,1,0,0
Bambusicola_fytchii,1,0,0,0,0,1,0
Francolinus_finschi,0,0,0,0,0,0,1
Francolinus_levaillantii,0,0,0,0,0,0,1
Francolinus_levaillantoides,0,0,0,0,0,0,1
Francolinus_africanus,0,0,0,0,0,0,1
Francolinus_shelleyi,0,0,0,0,0,0,1
Francolinus_francolinus,0,1,0,1,0,0,0
Francolinus_sephaena,0,0,0,0,0,0,1
Francolinus_pondicerianus,0,0,0,1,0,0,0
Francolinus_gularis,0,1,0,0,0,0,0
Francolinus_pintadeanus,1,0,0,0,1,1,0
Francolinus_lathami,0,0,0,0,0,0,1
Francolinus_coqui,0,0,0,0,0,0,1
Pavo_muticus,1,0,0,0,0,1,0
Pavo_cristatus,0,0,0,1,0,0,0
Afropavo_congensis,0,0,0,0,0,0,1
Haematortyx_sanguiniceps,0,0,0,0,0,1,0
Polyplectron_germaini,0,0,0,0,0,1,0
Polyplectron_katsumatae,0,0,0,0,0,1,0
Polyplectron_bicalcaratum,0,0,0,0,0,1,0
Polyplectron_chalcurum,0,0,0,0,0,1,0
Polyplectron_inopinatum,0,0,0,0,0,1,0
Polyplectron_malacense,0,0,0,0,0,1,0
Polyplectron_schleiermacheri,0,0,0,0,0,1,0
Polyplectron_napoleonis,0,0,0,0,0,1,0
Galloperdix_lunulata,0,0,0,1,0,0,0
Bonasa_sewerzowi,1,0,1,0,0,0,0
Bonasa_bonasia,0,0,1,0,0,0,0
Lagopus_muta,0,0,1,0,0,0,1
Lagopus_lagopus,0,0,1,0,0,0,1
Lagopus_leucura,0,0,0,0,0,0,1
Dendragapus_obscurus,0,0,0,0,0,0,1
Tympanuchus_phasianellus,0,0,0,0,0,0,1
Tympanuchus_cupido,0,0,0,0,0,0,1
Tympanuchus_pallidicinctus,0,0,0,0,0,0,1
Centrocercus_urophasianus,0,0,0,0,0,0,1
Centrocercus_minimus,0,0,0,0,0,0,1
Tetrao_parvirostris,0,0,1,0,0,0,0
Tetrao_urogallus,0,0,1,0,0,0,0
Tetrao_tetrix,0,0,1,0,0,0,0
Tetrao_mlokosiewiczi,0,0,1,0,0,0,0
Dendragapus_canadensis,0,0,0,0,0,0,1
Dendragapus_falcipennis,0,0,1,0,0,0,0
Bonasa_umbellus,0,0,0,0,0,0,1
Meleagris_gallopavo,0,0,0,0,0,0,1
Rhizothera_longirostris,0,0,0,0,0,1,0
Pucrasia_macrolopha,1,1,1,0,1,0,0
Syrmaticus_mikado,0,0,0,0,1,0,0
Syrmaticus_humiae,1,0,0,0,0,1,0
Syrmaticus_ellioti,0,0,0,0,1,0,0
Syrmaticus_soemmerringii,0,0,1,0,0,0,0
Syrmaticus_reevesii,1,0,0,0,1,0,0
Chrysolophus_pictus,1,0,0,0,1,0,0
Chrysolophus_amherstiae,1,0,0,0,0,1,0
Catreus_wallichi,0,1,0,0,0,0,0
Lophura_bulweri,0,0,0,0,0,1,0
Lophura_edwardsi,0,0,0,0,0,1,0
Lophura_swinhoii,0,0,0,0,1,0,0
Lophura_nycthemera,1,0,0,0,0,1,0
Lophura_leucomelanos,1,1,0,0,0,1,0
Lophura_ignita,0,0,0,0,0,1,0
Lophura_diardi,0,0,0,0,0,1,0
Lophura_inornata,0,0,0,0,0,1,0
Lophura_erythrophthalma,0,0,0,0,0,1,0
Crossoptilon_auritum,1,0,1,0,0,0,0
Crossoptilon_mantchuricum,0,0,1,0,0,0,0
Crossoptilon_crossoptilon,1,0,0,0,0,0,0
Phasianus_colchicus,1,0,1,0,1,1,0
Phasianus_versicolor,0,0,1,0,0,0,0
Perdix_dauurica,0,0,1,0,0,0,0
Perdix_perdix,0,0,1,0,0,0,0
Perdix_hodgsoniae,1,1,1,0,0,0,0
Lophophorus_sclateri,1,0,0,0,0,0,0
Lophophorus_impejanus,1,1,0,0,0,0,0
Lophophorus_lhuysii,1,0,0,0,0,0,0
Tetraophasis_szechenyii,1,0,0,0,0,0,0
Tetraophasis_obscurus,1,0,1,0,0,0,0
Tragopan_blythii,1,1,0,0,0,1,0
Tragopan_caboti,0,0,0,0,1,0,0
Tragopan_temminckii,1,1,0,0,1,1,0
Tragopan_satyra,0,1,0,0,0,0,0
Ithaginis_cruentus,1,1,1,0,0,0,0
Francolinus_griseostriatus,0,0,0,0,0,0,1
Francolinus_capensis,0,0,0,0,0,0,1
Francolinus_adspersus,0,0,0,0,0,0,1
Francolinus_hildebrandti,0,0,0,0,0,0,1
Francolinus_natalensis,0,0,0,0,0,0,1
Francolinus_squamatus,0,0,0,0,0,0,1
Francolinus_bicalcaratus,0,0,0,0,0,0,1
Francolinus_afer,0,0,0,0,0,0,1
Francolinus_leucoscepus,0,0,0,0,0,0,1
Francolinus_swainsonii,0,0,0,0,0,0,1
Francolinus_castaneicollis,0,0,0,0,0,0,1
Francolinus_erckelii,0,0,0,0,0,0,1
Francolinus_hartlaubi,0,0,0,0,0,0,1
Ammoperdix_heyi,0,0,0,0,0,0,1
Perdicula_asiatica,0,0,0,1,0,0,0
Alectoris_graeca,0,0,1,0,0,0,0
Alectoris_chukar,0,1,1,0,0,0,0
Alectoris_magna,0,0,1,0,0,0,0
Alectoris_philbyi,0,0,1,0,0,0,0
Alectoris_rufa,0,0,1,0,0,0,0
Alectoris_barbara,0,0,1,0,0,0,0
Alectoris_melanocephala,0,0,1,0,0,0,0
Coturnix_ypsilophora,0,0,0,0,0,0,1
Coturnix_chinensis,0,0,0,0,0,0,1
Margaroperdix_madagascariensis,0,0,0,0,0,0,1
Coturnix_coturnix,0,1,1,0,0,0,0
Coturnix_japonica,0,0,1,0,0,0,0
Coturnix_pectoralis,0,0,0,0,0,0,1
Tetraogallus_altaicus,0,0,1,0,0,0,0
Tetraogallus_himalayensis,0,1,1,0,0,0,0
Tetraogallus_caspius,0,0,1,0,0,0,0
Tetraogallus_tibetanus,1,1,1,0,0,0,0
Rheinardia_ocellata,0,0,0,0,0,1,0
Argusianus_argus,0,0,0,0,0,1,0
